,Rank,Last Round Single Time,Last Round Average Time,Rounds Competed,Best Single Time,Best Average Time,Number of Competitors,Number of Penalties
Rank,1.0,0.28956642032660657,0.4260609630436178,-0.00925837853147359,0.14838507254587258,0.3126570218001827,0.5293005024575018,0.08535674569841264
Last Round Single Time,0.28956642032660657,1.0,0.7935803455445248,-0.09108351345376506,0.38180556845500896,0.7378663479799221,-0.012753719769139173,0.0825169490974946
Last Round Average Time,0.4260609630436178,0.7935803455445248,1.0,-0.1359929292501153,0.40442213404371746,0.8538646728700473,-0.02661856402269734,0.09933987174178215
Rounds Competed,-0.00925837853147359,-0.09108351345376506,-0.1359929292501153,1.0,-0.07864911235265029,-0.15950445049265874,0.3789405438277345,-0.04969022283508996
Best Single Time,0.14838507254587258,0.38180556845500896,0.40442213404371746,-0.07864911235265029,1.0,0.5485374138264091,0.03719239203164457,-0.014204165925747381
Best Average Time,0.3126570218001827,0.7378663479799221,0.8538646728700473,-0.15950445049265874,0.5485374138264091,1.0,-0.06891550413414835,0.028420587662304382
Number of Competitors,0.5293005024575018,-0.012753719769139173,-0.02661856402269734,0.3789405438277345,0.03719239203164457,-0.06891550413414835,1.0,0.011153251591145752
Number of Penalties,0.08535674569841264,0.0825169490974946,0.09933987174178215,-0.04969022283508996,-0.014204165925747381,0.028420587662304382,0.011153251591145752,1.0
